Date,Daily Avg Q (cms)
01-Jan-2001,2.163
02-Jan-2001,4.961
03-Jan-2001,8.044
04-Jan-2001,10.232
05-Jan-2001,9.927
06-Jan-2001,5.527
07-Jan-2001,1.332
08-Jan-2001,0.779
09-Jan-2001,0.592
10-Jan-2001,0.483
11-Jan-2001,0.373
12-Jan-2001,0.301
13-Jan-2001,0.252
14-Jan-2001,0.23
15-Jan-2001,0.235
16-Jan-2001,0.265
17-Jan-2001,0.557
18-Jan-2001,0.679
19-Jan-2001,0.489
20-Jan-2001,0.335
21-Jan-2001,0.259
22-Jan-2001,0.216
23-Jan-2001,0.185
24-Jan-2001,0.166
25-Jan-2001,0.155
26-Jan-2001,0.145
27-Jan-2001,0.135
28-Jan-2001,0.13
29-Jan-2001,0.12
30-Jan-2001,0.12
31-Jan-2001,0.116
01-Feb-2001,0.146
02-Feb-2001,0.626
03-Feb-2001,1.75
04-Feb-2001,2.112
05-Feb-2001,3.316
06-Feb-2001,5.83
07-Feb-2001,7.47
08-Feb-2001,5.424
09-Feb-2001,1.248
10-Feb-2001,0.628
11-Feb-2001,0.466
12-Feb-2001,0.357
13-Feb-2001,0.289
14-Feb-2001,0.245
15-Feb-2001,0.215
16-Feb-2001,0.195
17-Feb-2001,0.175
18-Feb-2001,0.16
19-Feb-2001,0.15
20-Feb-2001,0.14
21-Feb-2001,0.159
22-Feb-2001,0.298
23-Feb-2001,0.625
24-Feb-2001,0.947
25-Feb-2001,1.083
26-Feb-2001,1.691
27-Feb-2001,2.969
28-Feb-2001,6.906
01-Mar-2001,13.537
02-Mar-2001,18.791
03-Mar-2001,23.575
04-Mar-2001,28.793
05-Mar-2001,33.512
06-Mar-2001,35.765
07-Mar-2001,33.54
08-Mar-2001,27.502
09-Mar-2001,18.85
10-Mar-2001,6.261
11-Mar-2001,3.025
12-Mar-2001,2.911
13-Mar-2001,2.333
14-Mar-2001,1.633
15-Mar-2001,1.941
16-Mar-2001,3.199
17-Mar-2001,5.888
18-Mar-2001,9.572
19-Mar-2001,13.361
20-Mar-2001,16.392
21-Mar-2001,19.283
22-Mar-2001,22.569
23-Mar-2001,23.72
24-Mar-2001,26.301
25-Mar-2001,30.714
26-Mar-2001,33.757
27-Mar-2001,30.335
28-Mar-2001,13.306
29-Mar-2001,2.544
30-Mar-2001,3.375
31-Mar-2001,4.561
01-Apr-2001,3.851
02-Apr-2001,4.464
03-Apr-2001,7.11
04-Apr-2001,10.618
05-Apr-2001,14.568
06-Apr-2001,17.478
07-Apr-2001,18.051
08-Apr-2001,15.806
09-Apr-2001,10.335
10-Apr-2001,3.332
11-Apr-2001,3.167
12-Apr-2001,6.434
13-Apr-2001,10.674
14-Apr-2001,15.365
15-Apr-2001,20.124
16-Apr-2001,23.042
17-Apr-2001,20.505
18-Apr-2001,16.555
19-Apr-2001,15.007
20-Apr-2001,15.484
21-Apr-2001,19.487
22-Apr-2001,25.755
23-Apr-2001,32.957
24-Apr-2001,41.935
25-Apr-2001,52.899
26-Apr-2001,58.455
27-Apr-2001,53.608
28-Apr-2001,34.958
29-Apr-2001,14.312
30-Apr-2001,4.257
01-May-2001,1.984
02-May-2001,1.751
03-May-2001,4.687
04-May-2001,10.25
05-May-2001,16.897
06-May-2001,23.461
07-May-2001,29.834
08-May-2001,37.149
09-May-2001,45.976
10-May-2001,50.522
11-May-2001,39.181
12-May-2001,25.312
13-May-2001,22.577
14-May-2001,22.137
15-May-2001,18.731
16-May-2001,17.775
17-May-2001,19.275
18-May-2001,23.885
19-May-2001,29.393
20-May-2001,34.378
21-May-2001,39.013
22-May-2001,42.294
23-May-2001,42.175
24-May-2001,25.826
25-May-2001,12.763
26-May-2001,18.03
27-May-2001,25.447
28-May-2001,31.915
29-May-2001,36.149
30-May-2001,40.513
31-May-2001,44.859
01-Jun-2001,44.333
02-Jun-2001,32.918
03-Jun-2001,16.665
04-Jun-2001,15.732
05-Jun-2001,26.367
06-Jun-2001,40.958
07-Jun-2001,53.41
08-Jun-2001,64.302
09-Jun-2001,71.902
10-Jun-2001,68.919
11-Jun-2001,34.854
12-Jun-2001,7.116
13-Jun-2001,6.005
14-Jun-2001,5.519
15-Jun-2001,3.607
16-Jun-2001,3.115
17-Jun-2001,3.432
18-Jun-2001,6.656
19-Jun-2001,13.08
20-Jun-2001,17.355
21-Jun-2001,21.779
22-Jun-2001,24.244
23-Jun-2001,23.75
24-Jun-2001,21.211
25-Jun-2001,18.282
26-Jun-2001,18.419
27-Jun-2001,22.033
28-Jun-2001,26.077
29-Jun-2001,29.622
30-Jun-2001,33.07
01-Jul-2001,32.561
02-Jul-2001,21.366
03-Jul-2001,9.561
04-Jul-2001,4.765
05-Jul-2001,3.614
06-Jul-2001,5.6
07-Jul-2001,8.392
08-Jul-2001,9.733
09-Jul-2001,8.121
10-Jul-2001,5.587
11-Jul-2001,1.963
12-Jul-2001,1.023
13-Jul-2001,1.526
14-Jul-2001,1.48
15-Jul-2001,1.448
16-Jul-2001,1.25
17-Jul-2001,1.453
18-Jul-2001,1.878
19-Jul-2001,1.693
20-Jul-2001,0.691
21-Jul-2001,0.665
22-Jul-2001,0.635
23-Jul-2001,0.595
24-Jul-2001,0.588
25-Jul-2001,0.454
26-Jul-2001,0.366
27-Jul-2001,0.325
28-Jul-2001,0.305
29-Jul-2001,0.299
30-Jul-2001,0.297
31-Jul-2001,0.3
01-Aug-2001,0.295
02-Aug-2001,0.275
03-Aug-2001,0.265
04-Aug-2001,0.26
05-Aug-2001,0.25
06-Aug-2001,0.25
07-Aug-2001,0.25
08-Aug-2001,0.25
09-Aug-2001,0.275
10-Aug-2001,0.342
11-Aug-2001,0.318
12-Aug-2001,0.275
13-Aug-2001,0.255
14-Aug-2001,0.246
15-Aug-2001,0.24
16-Aug-2001,0.245
17-Aug-2001,0.321
18-Aug-2001,0.481
19-Aug-2001,0.532
20-Aug-2001,0.436
21-Aug-2001,0.382
22-Aug-2001,0.502
23-Aug-2001,0.61
24-Aug-2001,0.72
25-Aug-2001,0.74
26-Aug-2001,0.835
27-Aug-2001,0.855
28-Aug-2001,0.653
29-Aug-2001,0.715
30-Aug-2001,0.796
31-Aug-2001,0.632
01-Sep-2001,0.464
02-Sep-2001,0.384
03-Sep-2001,0.34
04-Sep-2001,0.315
05-Sep-2001,0.3
06-Sep-2001,0.29
07-Sep-2001,0.28
08-Sep-2001,2.953
09-Sep-2001,9.324
10-Sep-2001,13.051
11-Sep-2001,16.822
12-Sep-2001,20.837
13-Sep-2001,23.725
14-Sep-2001,25.824
15-Sep-2001,25.798
16-Sep-2001,22.746
17-Sep-2001,19.927
18-Sep-2001,16.984
19-Sep-2001,6.75
20-Sep-2001,1.373
21-Sep-2001,1.026
22-Sep-2001,1.096
23-Sep-2001,1.827
24-Sep-2001,2.477
25-Sep-2001,1.96
26-Sep-2001,1.201
27-Sep-2001,0.922
28-Sep-2001,0.742
29-Sep-2001,0.829
30-Sep-2001,0.726
01-Oct-2001,2.809
02-Oct-2001,4.882
03-Oct-2001,6.576
04-Oct-2001,6.697
05-Oct-2001,5.065
06-Oct-2001,2.756
07-Oct-2001,1.566
08-Oct-2001,1.512
09-Oct-2001,1.765
10-Oct-2001,2.715
11-Oct-2001,4.302
12-Oct-2001,6.764
13-Oct-2001,9.183
14-Oct-2001,10.685
15-Oct-2001,13.203
16-Oct-2001,17.424
17-Oct-2001,22.612
18-Oct-2001,27.812
19-Oct-2001,31.236
20-Oct-2001,31.281
21-Oct-2001,29.365
22-Oct-2001,28.146
23-Oct-2001,26.315
24-Oct-2001,19.054
25-Oct-2001,12.814
26-Oct-2001,15.991
27-Oct-2001,23.028
28-Oct-2001,31.125
29-Oct-2001,39.19
30-Oct-2001,46.781
31-Oct-2001,52.296
01-Nov-2001,51.577
02-Nov-2001,38.123
03-Nov-2001,11.592
04-Nov-2001,6.49
05-Nov-2001,6.486
06-Nov-2001,4.59
07-Nov-2001,1.621
08-Nov-2001,1.586
09-Nov-2001,2.736
10-Nov-2001,4.575
11-Nov-2001,7.023
12-Nov-2001,9.189
13-Nov-2001,10.02
14-Nov-2001,9.831
15-Nov-2001,8.026
16-Nov-2001,7.913
17-Nov-2001,8.868
18-Nov-2001,8.229
19-Nov-2001,6.567
20-Nov-2001,6.233
21-Nov-2001,6.803
22-Nov-2001,7.825
23-Nov-2001,9.778
24-Nov-2001,12.602
25-Nov-2001,15.317
26-Nov-2001,15.463
27-Nov-2001,10.305
28-Nov-2001,4.784
29-Nov-2001,3.93
30-Nov-2001,4.792
01-Dec-2001,5.493
02-Dec-2001,4.935
03-Dec-2001,5.84
04-Dec-2001,9.793
05-Dec-2001,13.96
06-Dec-2001,16.707
07-Dec-2001,18.038
08-Dec-2001,15.084
09-Dec-2001,3.817
10-Dec-2001,1.017
11-Dec-2001,1.21
12-Dec-2001,1.572
13-Dec-2001,1.897
14-Dec-2001,2.319
15-Dec-2001,1.751
16-Dec-2001,0.864
17-Dec-2001,0.626
18-Dec-2001,0.53
19-Dec-2001,0.474
20-Dec-2001,0.435
21-Dec-2001,0.405
22-Dec-2001,0.39
23-Dec-2001,0.383
24-Dec-2001,0.37
25-Dec-2001,0.385
26-Dec-2001,0.385
27-Dec-2001,0.403
28-Dec-2001,0.766
29-Dec-2001,0.833
30-Dec-2001,0.617
31-Dec-2001,0.489
01-Jan-2002,0.438
02-Jan-2002,0.652
03-Jan-2002,1.288
04-Jan-2002,1.975
05-Jan-2002,2.173
06-Jan-2002,1.97
07-Jan-2002,3.564
08-Jan-2002,5.57
09-Jan-2002,6.985
10-Jan-2002,7.968
11-Jan-2002,8.145
12-Jan-2002,6.004
13-Jan-2002,4.886
14-Jan-2002,5.362
15-Jan-2002,5.443
16-Jan-2002,3.675
17-Jan-2002,1.387
18-Jan-2002,0.876
19-Jan-2002,0.693
20-Jan-2002,0.588
21-Jan-2002,0.521
22-Jan-2002,0.471
23-Jan-2002,0.444
24-Jan-2002,0.513
25-Jan-2002,1.05
26-Jan-2002,1.706
27-Jan-2002,1.504
28-Jan-2002,0.918
29-Jan-2002,0.654
30-Jan-2002,0.55
31-Jan-2002,0.577
01-Feb-2002,0.585
02-Feb-2002,0.514
03-Feb-2002,0.456
04-Feb-2002,0.418
05-Feb-2002,0.395
06-Feb-2002,0.375
07-Feb-2002,0.362
08-Feb-2002,0.35
09-Feb-2002,0.349
10-Feb-2002,0.408
11-Feb-2002,0.415
12-Feb-2002,0.388
13-Feb-2002,0.4
14-Feb-2002,0.425
15-Feb-2002,0.389
16-Feb-2002,0.365
17-Feb-2002,0.946
18-Feb-2002,3.645
19-Feb-2002,9.301
20-Feb-2002,17.081
21-Feb-2002,23.561
22-Feb-2002,25.34
23-Feb-2002,19.664
24-Feb-2002,11.692
25-Feb-2002,13.988
26-Feb-2002,19.83
27-Feb-2002,24.831
28-Feb-2002,27.695
01-Mar-2002,29.891
02-Mar-2002,31.377
03-Mar-2002,29.411
04-Mar-2002,25.591
05-Mar-2002,25.853
06-Mar-2002,31.253
07-Mar-2002,38.569
08-Mar-2002,44.458
09-Mar-2002,49.718
10-Mar-2002,55.085
11-Mar-2002,59.012
12-Mar-2002,60.091
13-Mar-2002,57.874
14-Mar-2002,56.822
15-Mar-2002,57.265
16-Mar-2002,55.541
17-Mar-2002,53.496
18-Mar-2002,51.64
19-Mar-2002,50.307
20-Mar-2002,49.602
21-Mar-2002,50.658
22-Mar-2002,52.077
23-Mar-2002,47.005
24-Mar-2002,21.891
25-Mar-2002,7.34
26-Mar-2002,8.561
27-Mar-2002,9.056
28-Mar-2002,8.113
29-Mar-2002,5.605
30-Mar-2002,5.272
31-Mar-2002,6.692
01-Apr-2002,6.891
02-Apr-2002,6.446
03-Apr-2002,5.037
04-Apr-2002,2.954
05-Apr-2002,2.902
06-Apr-2002,5.586
07-Apr-2002,14.062
08-Apr-2002,46.135
09-Apr-2002,81.247
10-Apr-2002,96.651
11-Apr-2002,103.828
12-Apr-2002,120.762
13-Apr-2002,140.993
14-Apr-2002,156.873
15-Apr-2002,165.142
16-Apr-2002,167.807
17-Apr-2002,169.492
18-Apr-2002,167.438
19-Apr-2002,148.618
20-Apr-2002,104.224
21-Apr-2002,62.134
22-Apr-2002,45.348
23-Apr-2002,33.108
24-Apr-2002,9.258
25-Apr-2002,1.387
26-Apr-2002,0.989
27-Apr-2002,1.095
28-Apr-2002,1.534
29-Apr-2002,2.353
30-Apr-2002,3.243
01-May-2002,4.726
02-May-2002,5.773
03-May-2002,5.49
04-May-2002,5.705
05-May-2002,6.665
06-May-2002,7.445
07-May-2002,6.424
08-May-2002,5.205
09-May-2002,5.069
10-May-2002,3.548
11-May-2002,2.794
12-May-2002,7.246
13-May-2002,13.058
14-May-2002,18.88
15-May-2002,21.631
16-May-2002,20.109
17-May-2002,11.672
18-May-2002,5.572
19-May-2002,4.646
20-May-2002,3.271
21-May-2002,2.056
22-May-2002,4.519
23-May-2002,10.43
24-May-2002,19.138
25-May-2002,28.755
26-May-2002,35.489
27-May-2002,36.978
28-May-2002,34.932
29-May-2002,27.987
30-May-2002,16.487
31-May-2002,11.348
01-Jun-2002,8.945
02-Jun-2002,10.357
03-Jun-2002,15.505
04-Jun-2002,21.477
05-Jun-2002,24.599
06-Jun-2002,25.04
07-Jun-2002,24.96
08-Jun-2002,28.016
09-Jun-2002,37.904
10-Jun-2002,51.345
11-Jun-2002,56.658
12-Jun-2002,56.229
13-Jun-2002,56.319
14-Jun-2002,53.213
15-Jun-2002,46.563
16-Jun-2002,42.511
17-Jun-2002,40.961
18-Jun-2002,32.516
19-Jun-2002,16.144
20-Jun-2002,7.429
21-Jun-2002,7.257
22-Jun-2002,8.257
23-Jun-2002,5.155
24-Jun-2002,3.633
25-Jun-2002,3.203
26-Jun-2002,7.631
27-Jun-2002,23.155
28-Jun-2002,28.839
29-Jun-2002,34.277
30-Jun-2002,41.613
01-Jul-2002,45.841
02-Jul-2002,46.068
03-Jul-2002,47.479
04-Jul-2002,49.673
05-Jul-2002,43.17
06-Jul-2002,33.256
07-Jul-2002,29.303
08-Jul-2002,32.5
09-Jul-2002,37.465
10-Jul-2002,40.213
11-Jul-2002,41.269
12-Jul-2002,41.206
13-Jul-2002,36.485
14-Jul-2002,26.281
15-Jul-2002,21.599
16-Jul-2002,17.485
17-Jul-2002,10.019
18-Jul-2002,2.747
19-Jul-2002,2.676
20-Jul-2002,3.325
21-Jul-2002,2.959
22-Jul-2002,1.767
23-Jul-2002,1.787
24-Jul-2002,2.211
25-Jul-2002,3.205
26-Jul-2002,5.052
27-Jul-2002,4.788
28-Jul-2002,3.35
29-Jul-2002,2.943
30-Jul-2002,2.36
31-Jul-2002,1.159
01-Aug-2002,1.016
02-Aug-2002,1.45
03-Aug-2002,2.106
04-Aug-2002,2.384
05-Aug-2002,1.756
06-Aug-2002,2.132
07-Aug-2002,4.345
08-Aug-2002,7.191
09-Aug-2002,9.798
10-Aug-2002,10.268
11-Aug-2002,6.467
12-Aug-2002,2.748
13-Aug-2002,2.573
14-Aug-2002,1.978
15-Aug-2002,1.182
16-Aug-2002,0.892
17-Aug-2002,0.77
18-Aug-2002,0.702
19-Aug-2002,0.66
20-Aug-2002,0.631
21-Aug-2002,0.63
22-Aug-2002,0.68
23-Aug-2002,0.825
24-Aug-2002,0.779
25-Aug-2002,0.649
26-Aug-2002,0.593
27-Aug-2002,0.568
28-Aug-2002,0.555
29-Aug-2002,0.55
30-Aug-2002,0.54
31-Aug-2002,0.576
01-Sep-2002,0.645
02-Sep-2002,0.604
03-Sep-2002,0.561
04-Sep-2002,0.565
05-Sep-2002,0.575
06-Sep-2002,0.983
07-Sep-2002,2.509
08-Sep-2002,4.588
09-Sep-2002,6.735
10-Sep-2002,8.804
11-Sep-2002,10.683
12-Sep-2002,12.616
13-Sep-2002,15.209
14-Sep-2002,19.108
15-Sep-2002,22.603
16-Sep-2002,23.955
17-Sep-2002,11.551
18-Sep-2002,1.204
19-Sep-2002,1.278
20-Sep-2002,1.141
21-Sep-2002,1.028
22-Sep-2002,0.94
23-Sep-2002,1.212
24-Sep-2002,2.275
25-Sep-2002,4.811
26-Sep-2002,9.46
27-Sep-2002,16.068
28-Sep-2002,23.528
29-Sep-2002,30.785
30-Sep-2002,36.718
01-Oct-2002,34.204
02-Oct-2002,8.665
03-Oct-2002,1.08
04-Oct-2002,0.974
05-Oct-2002,1.14
06-Oct-2002,1.245
07-Oct-2002,1.108
08-Oct-2002,1.203
09-Oct-2002,1.589
10-Oct-2002,3.282
11-Oct-2002,6.41
12-Oct-2002,10.868
13-Oct-2002,16.008
14-Oct-2002,21.926
15-Oct-2002,28.398
16-Oct-2002,32.932
17-Oct-2002,34.767
18-Oct-2002,38.713
19-Oct-2002,43.704
20-Oct-2002,46.186
21-Oct-2002,47.982
22-Oct-2002,52.392
23-Oct-2002,60.511
24-Oct-2002,69.838
25-Oct-2002,77.464
26-Oct-2002,82.075
27-Oct-2002,82.745
28-Oct-2002,78.225
29-Oct-2002,69.313
30-Oct-2002,63.984
31-Oct-2002,66.611
01-Nov-2002,71.574
02-Nov-2002,74.616
03-Nov-2002,77.344
04-Nov-2002,80.859
05-Nov-2002,80.706
06-Nov-2002,66.236
07-Nov-2002,48.819
08-Nov-2002,48.205
09-Nov-2002,56.317
10-Nov-2002,66.285
11-Nov-2002,74.762
12-Nov-2002,76.92
13-Nov-2002,65.618
14-Nov-2002,49.013
15-Nov-2002,43.861
16-Nov-2002,48.418
17-Nov-2002,56.357
18-Nov-2002,62.153
19-Nov-2002,60.99
20-Nov-2002,46.325
21-Nov-2002,27.227
22-Nov-2002,21.252
23-Nov-2002,16.827
24-Nov-2002,5.83
25-Nov-2002,3.37
26-Nov-2002,4.794
27-Nov-2002,6.469
28-Nov-2002,8.133
29-Nov-2002,8.657
30-Nov-2002,6.979
01-Dec-2002,6.403
02-Dec-2002,10.289
03-Dec-2002,15.68
04-Dec-2002,19.435
05-Dec-2002,20.738
06-Dec-2002,20.044
07-Dec-2002,19.955
08-Dec-2002,22.933
09-Dec-2002,25.715
10-Dec-2002,27.447
11-Dec-2002,31.363
12-Dec-2002,37.097
13-Dec-2002,45.21
14-Dec-2002,53.617
15-Dec-2002,58.756
16-Dec-2002,58.285
17-Dec-2002,48.112
18-Dec-2002,15.925
19-Dec-2002,4.247
20-Dec-2002,4.719
21-Dec-2002,2.8
22-Dec-2002,1.314
23-Dec-2002,1.042
24-Dec-2002,0.922
25-Dec-2002,0.852
26-Dec-2002,0.806
27-Dec-2002,0.775
28-Dec-2002,0.745
29-Dec-2002,0.728
30-Dec-2002,0.715
31-Dec-2002,0.703
01-Jan-2003,0.695
02-Jan-2003,0.685
03-Jan-2003,0.68
04-Jan-2003,0.675
05-Jan-2003,0.67
06-Jan-2003,0.67
07-Jan-2003,0.661
08-Jan-2003,1.215
09-Jan-2003,2.708
10-Jan-2003,3.969
11-Jan-2003,5.366
12-Jan-2003,5.761
13-Jan-2003,4.899
14-Jan-2003,3.637
15-Jan-2003,3.009
16-Jan-2003,3.795
17-Jan-2003,4.797
18-Jan-2003,5.425
19-Jan-2003,4.301
20-Jan-2003,1.936
21-Jan-2003,1.216
22-Jan-2003,1.014
23-Jan-2003,0.965
24-Jan-2003,1.135
25-Jan-2003,3.606
26-Jan-2003,8.531
27-Jan-2003,14.387
28-Jan-2003,17.84
29-Jan-2003,15.856
30-Jan-2003,8.968
31-Jan-2003,2.19
01-Feb-2003,1.22
02-Feb-2003,1.025
03-Feb-2003,0.918
04-Feb-2003,0.849
05-Feb-2003,0.805
06-Feb-2003,0.948
07-Feb-2003,1.538
08-Feb-2003,2.92
09-Feb-2003,4.06
10-Feb-2003,6.826
11-Feb-2003,15.009
12-Feb-2003,27.485
13-Feb-2003,41.04
14-Feb-2003,52.249
15-Feb-2003,58.773
16-Feb-2003,60.996
17-Feb-2003,61.909
18-Feb-2003,61.759
19-Feb-2003,58.305
20-Feb-2003,54.842
21-Feb-2003,55.695
22-Feb-2003,56.252
23-Feb-2003,46.626
24-Feb-2003,18.57
25-Feb-2003,12.561
26-Feb-2003,20.406
27-Feb-2003,28.921
28-Feb-2003,36.855
01-Mar-2003,44.746
02-Mar-2003,52.493
03-Mar-2003,55.973
04-Mar-2003,53.47
05-Mar-2003,52.108
06-Mar-2003,55.863
07-Mar-2003,61.678
08-Mar-2003,64.733
09-Mar-2003,61.91
10-Mar-2003,53.714
11-Mar-2003,40.582
12-Mar-2003,24.238
13-Mar-2003,21.467
14-Mar-2003,24.623
15-Mar-2003,27.188
16-Mar-2003,27.207
17-Mar-2003,17.835
18-Mar-2003,4.547
19-Mar-2003,5.86
20-Mar-2003,13.772
21-Mar-2003,20.647
22-Mar-2003,28.688
23-Mar-2003,36.441
24-Mar-2003,41.972
25-Mar-2003,45.797
26-Mar-2003,47.455
27-Mar-2003,43.161
28-Mar-2003,32.114
29-Mar-2003,24.984
30-Mar-2003,27.24
31-Mar-2003,31.211
01-Apr-2003,34.207
02-Apr-2003,35.574
03-Apr-2003,33.284
04-Apr-2003,33.712
05-Apr-2003,38.518
06-Apr-2003,42.432
07-Apr-2003,47.922
08-Apr-2003,57.487
09-Apr-2003,67.976
10-Apr-2003,73.697
11-Apr-2003,67.394
12-Apr-2003,45.162
13-Apr-2003,33.992
14-Apr-2003,44.898
15-Apr-2003,61.277
16-Apr-2003,77.179
17-Apr-2003,88.644
18-Apr-2003,100.833
19-Apr-2003,113.91
20-Apr-2003,124.138
21-Apr-2003,123.777
22-Apr-2003,101.328
23-Apr-2003,47.39
24-Apr-2003,2.724
25-Apr-2003,1.903
26-Apr-2003,5.086
27-Apr-2003,9.979
28-Apr-2003,14.322
29-Apr-2003,18.506
30-Apr-2003,22.167
01-May-2003,24.112
02-May-2003,26.242
03-May-2003,28.371
04-May-2003,24.253
05-May-2003,6.894
06-May-2003,2.038
07-May-2003,3.534
08-May-2003,5.835
09-May-2003,8.319
10-May-2003,9.246
11-May-2003,6.855
12-May-2003,6.341
13-May-2003,11.285
14-May-2003,20.187
15-May-2003,29.648
16-May-2003,37.846
17-May-2003,45.228
18-May-2003,51.417
19-May-2003,46.81
20-May-2003,19.653
21-May-2003,10.317
22-May-2003,12.127
23-May-2003,9.714
24-May-2003,3.506
25-May-2003,3.578
26-May-2003,6.453
27-May-2003,9.857
28-May-2003,13.896
29-May-2003,18.673
30-May-2003,21.342
31-May-2003,19.501
01-Jun-2003,16.026
02-Jun-2003,12.619
03-Jun-2003,8.499
04-Jun-2003,8.767
05-Jun-2003,11.564
06-Jun-2003,15.642
07-Jun-2003,21.003
08-Jun-2003,24.811
09-Jun-2003,25.095
10-Jun-2003,22.971
11-Jun-2003,21.683
12-Jun-2003,18.903
13-Jun-2003,18.215
14-Jun-2003,18.164
15-Jun-2003,17.033
16-Jun-2003,13.442
17-Jun-2003,6.486
18-Jun-2003,8.259
19-Jun-2003,9.653
20-Jun-2003,11.279
21-Jun-2003,13.202
22-Jun-2003,16.33
23-Jun-2003,20.449
24-Jun-2003,23.526
25-Jun-2003,22.293
26-Jun-2003,10.702
27-Jun-2003,2.324
28-Jun-2003,1.488
29-Jun-2003,1.247
30-Jun-2003,1.251
01-Jul-2003,1.416
02-Jul-2003,1.312
03-Jul-2003,1.127
04-Jul-2003,1.022
05-Jul-2003,0.966
06-Jul-2003,0.932
07-Jul-2003,0.905
08-Jul-2003,0.895
09-Jul-2003,0.89
10-Jul-2003,0.895
11-Jul-2003,0.905
12-Jul-2003,0.885
13-Jul-2003,0.865
14-Jul-2003,0.903
15-Jul-2003,1.179
16-Jul-2003,3.165
17-Jul-2003,6.63
18-Jul-2003,10.878
19-Jul-2003,15.534
20-Jul-2003,20.047
21-Jul-2003,23.327
22-Jul-2003,22.066
23-Jul-2003,11.89
24-Jul-2003,2.519
25-Jul-2003,1.503
26-Jul-2003,1.248
27-Jul-2003,1.128
28-Jul-2003,1.306
29-Jul-2003,1.871
30-Jul-2003,2.01
31-Jul-2003,1.58
01-Aug-2003,1.215
02-Aug-2003,1.061
03-Aug-2003,0.987
04-Aug-2003,0.945
05-Aug-2003,0.915
06-Aug-2003,0.897
07-Aug-2003,0.885
08-Aug-2003,0.897
09-Aug-2003,0.93
10-Aug-2003,0.91
11-Aug-2003,1.138
12-Aug-2003,2.188
13-Aug-2003,4.081
14-Aug-2003,6.273
15-Aug-2003,7.692
16-Aug-2003,6.653
17-Aug-2003,2.697
18-Aug-2003,1.381
19-Aug-2003,1.165
20-Aug-2003,1.08
21-Aug-2003,1.06
22-Aug-2003,1.065
23-Aug-2003,1.021
24-Aug-2003,0.995
25-Aug-2003,0.959
26-Aug-2003,0.92
27-Aug-2003,0.895
28-Aug-2003,0.88
29-Aug-2003,0.87
30-Aug-2003,0.86
31-Aug-2003,0.853
01-Sep-2003,0.85
02-Sep-2003,0.845
03-Sep-2003,0.84
04-Sep-2003,0.877
05-Sep-2003,1.146
06-Sep-2003,1.796
07-Sep-2003,2.505
08-Sep-2003,2.4
09-Sep-2003,1.665
10-Sep-2003,1.394
11-Sep-2003,1.138
12-Sep-2003,1.004
13-Sep-2003,0.945
14-Sep-2003,0.99
15-Sep-2003,1.273
16-Sep-2003,1.427
17-Sep-2003,1.268
18-Sep-2003,1.209
19-Sep-2003,1.836
20-Sep-2003,2.973
21-Sep-2003,3.66
22-Sep-2003,3.385
23-Sep-2003,3.041
24-Sep-2003,4.392
25-Sep-2003,7.487
26-Sep-2003,11.409
27-Sep-2003,15.975
28-Sep-2003,20.893
29-Sep-2003,23.915
30-Sep-2003,26.885
01-Oct-2003,31.587
02-Oct-2003,34.418
03-Oct-2003,35.333
04-Oct-2003,28.69
05-Oct-2003,18.27
06-Oct-2003,14.479
07-Oct-2003,13.401
08-Oct-2003,13.301
09-Oct-2003,13.185
10-Oct-2003,12.498
11-Oct-2003,8.607
12-Oct-2003,5.827
13-Oct-2003,8.036
14-Oct-2003,14.031
15-Oct-2003,22.627
16-Oct-2003,31.996
17-Oct-2003,43.581
18-Oct-2003,53.585
19-Oct-2003,61.19
20-Oct-2003,68.291
21-Oct-2003,75.081
22-Oct-2003,80.316
23-Oct-2003,80.905
24-Oct-2003,72.212
25-Oct-2003,59.843
26-Oct-2003,55.681
27-Oct-2003,56.587
28-Oct-2003,54.346
29-Oct-2003,38.506
30-Oct-2003,17.257
31-Oct-2003,14.517
