Years	 Months 	Days	Ahlan	Atchakpa	Atcherigbe	Beterou	Bonou	Dome	Kaboua
1948	4	9	NA	NA	NA	NA	NA	NA	NA
1948	4	10	NA	NA	NA	NA	NA	NA	NA
1948	4	11	NA	NA	NA	NA	NA	NA	NA
1948	4	12	NA	NA	NA	NA	NA	NA	NA
1948	4	13	NA	NA	NA	NA	NA	NA	NA
1948	4	14	NA	NA	NA	NA	NA	NA	NA
1948	4	15	NA	NA	NA	NA	NA	NA	NA
1948	4	16	NA	NA	NA	NA	NA	NA	NA
1948	4	17	NA	NA	NA	NA	NA	NA	NA
1948	4	18	NA	NA	NA	NA	NA	NA	NA
1948	4	19	NA	NA	NA	NA	NA	NA	NA
1948	4	20	NA	NA	NA	NA	NA	NA	NA
1948	4	21	NA	NA	NA	NA	NA	NA	NA
1948	4	22	NA	NA	NA	NA	NA	NA	NA
1948	4	23	NA	NA	NA	NA	NA	NA	NA
1948	4	24	NA	NA	NA	NA	NA	NA	NA
1948	4	25	NA	NA	NA	NA	NA	NA	NA
1948	4	26	NA	NA	NA	NA	NA	NA	NA
1948	4	27	NA	NA	NA	NA	NA	NA	NA
1948	4	28	NA	NA	NA	NA	NA	NA	NA
1948	4	29	NA	NA	NA	NA	NA	NA	NA
1948	4	30	NA	NA	NA	NA	NA	NA	NA
1948	5	1	NA	NA	NA	NA	NA	NA	NA
1948	5	2	NA	NA	NA	NA	NA	NA	NA
1948	5	3	NA	NA	NA	NA	NA	NA	NA
1948	5	4	NA	NA	NA	NA	NA	NA	NA
1948	5	5	NA	NA	NA	NA	NA	NA	NA
1948	5	6	NA	NA	NA	NA	NA	NA	NA
1948	5	7	NA	NA	NA	NA	NA	NA	NA
1948	5	8	NA	NA	NA	NA	NA	NA	NA
1948	5	9	NA	NA	NA	NA	NA	NA	NA
1948	5	10	NA	NA	NA	NA	NA	NA	NA
1948	5	11	NA	NA	NA	NA	NA	NA	NA
1948	5	12	NA	NA	NA	NA	NA	NA	NA
1948	5	13	NA	NA	NA	NA	NA	NA	NA
1948	5	14	NA	NA	NA	NA	NA	NA	NA
1948	5	15	NA	NA	NA	NA	NA	NA	NA
1948	5	16	NA	NA	NA	NA	NA	NA	NA
1948	5	17	NA	NA	NA	NA	NA	NA	NA
1948	5	18	NA	NA	NA	NA	NA	NA	NA
1948	5	19	NA	NA	NA	NA	NA	NA	NA
1948	5	20	NA	NA	NA	NA	NA	NA	NA
1948	5	21	NA	NA	NA	NA	NA	NA	NA
1948	5	22	NA	NA	NA	NA	NA	NA	NA
1948	5	23	NA	NA	NA	NA	NA	NA	NA
1948	5	24	NA	NA	NA	NA	NA	NA	NA
1948	5	25	NA	NA	NA	NA	NA	NA	NA
1948	5	26	NA	NA	NA	NA	NA	NA	NA
1948	5	27	NA	NA	NA	NA	NA	NA	NA
1948	5	28	NA	NA	NA	NA	NA	NA	NA
1948	5	29	NA	NA	NA	NA	NA	NA	NA
1948	5	30	NA	NA	NA	NA	NA	NA	NA
1948	5	31	NA	NA	NA	NA	NA	NA	NA
1948	6	1	NA	NA	NA	NA	NA	NA	NA
1948	6	2	NA	NA	NA	NA	NA	NA	NA
1948	6	3	NA	NA	NA	NA	NA	NA	NA
1948	6	4	NA	NA	NA	NA	NA	NA	NA
1948	6	5	NA	NA	NA	NA	NA	NA	NA
1948	6	6	NA	NA	NA	NA	NA	NA	NA
1948	6	7	NA	NA	NA	NA	NA	NA	NA
1948	6	8	NA	NA	NA	NA	NA	NA	NA
1948	6	9	NA	NA	NA	NA	NA	NA	NA
1948	6	10	NA	NA	NA	NA	NA	NA	NA
1948	6	11	NA	NA	NA	NA	NA	NA	NA
1948	6	12	NA	NA	NA	NA	NA	NA	NA
1948	6	13	NA	NA	NA	NA	NA	NA	NA
1948	6	14	NA	NA	NA	NA	NA	NA	NA
1948	6	15	NA	NA	NA	NA	NA	NA	NA
1948	6	16	NA	NA	NA	NA	NA	NA	NA
1948	6	17	NA	NA	NA	NA	NA	NA	NA
1948	6	18	NA	NA	NA	NA	NA	NA	NA
1948	6	19	NA	NA	NA	NA	NA	NA	NA
1948	6	20	NA	NA	NA	NA	NA	NA	NA
1948	6	21	NA	NA	NA	NA	NA	NA	NA
1948	6	22	NA	NA	NA	NA	NA	NA	NA
1948	6	23	NA	NA	NA	NA	NA	NA	NA
1948	6	24	NA	NA	NA	NA	NA	NA	NA
1948	6	25	NA	NA	NA	NA	NA	NA	NA
1948	6	26	NA	NA	NA	NA	NA	NA	NA
1948	6	27	NA	NA	NA	NA	NA	NA	NA
1948	6	28	NA	NA	NA	NA	NA	NA	NA
1948	6	29	NA	NA	NA	NA	NA	NA	NA
1948	6	30	NA	NA	NA	NA	NA	NA	NA
1948	7	1	NA	NA	NA	NA	NA	NA	NA
1948	7	2	NA	NA	NA	NA	NA	NA	NA
1948	7	3	NA	NA	NA	NA	NA	NA	NA
1948	7	4	NA	NA	NA	NA	31.79999924	NA	NA
1948	7	5	NA	NA	NA	NA	41.34999847	NA	NA
1948	7	6	NA	NA	NA	NA	47.09999847	NA	NA
1948	7	7	NA	NA	NA	NA	43.74000168	NA	NA
1948	7	8	NA	NA	NA	NA	44.11000061	NA	NA
1948	7	9	NA	NA	NA	NA	47.97999954	NA	NA
1948	7	10	NA	NA	NA	NA	58.84000015	NA	NA
1948	7	11	NA	NA	NA	NA	75.36000061	NA	NA
1948	7	12	NA	NA	NA	NA	87.08000183	NA	NA
1948	7	13	NA	NA	NA	NA	93.80000305	NA	NA
1948	7	14	NA	NA	NA	NA	105.1999969	NA	NA
1948	7	15	NA	NA	NA	NA	106.0999985	NA	NA
1948	7	16	NA	NA	NA	NA	101.4000015	NA	NA
1948	7	17	NA	NA	NA	NA	105.3000031	NA	NA
1948	7	18	NA	NA	NA	NA	102.5999985	NA	NA
1948	7	19	NA	NA	NA	NA	88.36000061	NA	NA
1948	7	20	NA	NA	NA	NA	86.01000214	NA	NA
1948	7	21	NA	NA	NA	NA	88.16999817	NA	NA
1948	7	22	NA	NA	NA	NA	100.6999969	NA	NA
1948	7	23	NA	NA	NA	NA	99.19999695	NA	NA
1948	7	24	NA	NA	NA	NA	92.80000305	NA	NA
1948	7	25	NA	NA	NA	NA	87.98000336	NA	NA
1948	7	26	NA	NA	NA	NA	89.31999969	NA	NA
1948	7	27	NA	NA	NA	NA	101.8000031	NA	NA
1948	7	28	NA	NA	NA	NA	106.5	NA	NA
1948	7	29	NA	NA	NA	NA	107	NA	NA
1948	7	30	NA	NA	NA	NA	109.1999969	NA	NA
1948	7	31	NA	NA	NA	NA	123	NA	NA
1948	8	1	NA	NA	NA	NA	129.6000061	NA	NA
1948	8	2	NA	NA	NA	NA	149.6000061	NA	NA
1948	8	3	NA	NA	NA	NA	181.1000061	NA	NA
1948	8	4	NA	NA	NA	NA	199.3000031	NA	NA
1948	8	5	NA	NA	NA	NA	192.8000031	NA	NA
1948	8	6	NA	NA	NA	NA	188.6000061	NA	NA
1948	8	7	NA	NA	NA	NA	190.8999939	NA	NA
1948	8	8	NA	NA	NA	NA	187.5	NA	NA
1948	8	9	NA	NA	NA	NA	188.1999969	NA	NA
1948	8	10	NA	NA	NA	NA	219	NA	NA
1948	8	11	NA	NA	NA	NA	244.6999969	NA	NA
1948	8	12	NA	NA	NA	NA	247.5	NA	NA
1948	8	13	NA	NA	NA	NA	241.1000061	NA	NA
1948	8	14	NA	NA	NA	NA	236.8000031	NA	NA
1948	8	15	NA	NA	NA	NA	298.7000122	NA	NA
1948	8	16	NA	NA	NA	NA	367.7999878	NA	NA
1948	8	17	NA	NA	NA	NA	381.2999878	NA	NA
1948	8	18	NA	NA	NA	NA	371.2000122	NA	NA
1948	8	19	NA	NA	NA	NA	370.2999878	NA	NA
1948	8	20	NA	NA	NA	NA	375.7999878	NA	NA
1948	8	21	NA	NA	NA	NA	376.7000122	NA	NA
1948	8	22	NA	NA	NA	NA	377.6000061	NA	NA
1948	8	23	NA	NA	NA	NA	383.1000061	NA	NA
1948	8	24	NA	NA	NA	NA	384.8999939	NA	NA
1948	8	25	NA	NA	NA	NA	390	NA	NA
1948	8	26	NA	NA	NA	NA	388.2000122	NA	NA
1948	8	27	NA	NA	NA	NA	382.7000122	NA	NA
1948	8	28	NA	NA	NA	NA	368.5	NA	NA
1948	8	29	NA	NA	NA	NA	345.7000122	NA	NA
1948	8	30	NA	NA	NA	NA	315.6000061	NA	NA
1948	8	31	NA	NA	NA	NA	318.2999878	NA	NA
1948	9	1	NA	NA	NA	NA	363.8999939	NA	NA
1948	9	2	NA	NA	NA	NA	383.1000061	NA	NA
1948	9	3	NA	NA	NA	NA	391.2999878	NA	NA
1948	9	4	NA	NA	NA	NA	397.7000122	NA	NA
1948	9	5	NA	NA	NA	NA	400.3999939	NA	NA
1948	9	6	NA	NA	NA	NA	415.8999939	NA	NA
1948	9	7	NA	NA	NA	NA	443.2999878	NA	NA
1948	9	8	NA	NA	NA	NA	436	NA	NA
1948	9	9	NA	NA	NA	NA	428.7000122	NA	NA
1948	9	10	NA	NA	NA	NA	426	NA	NA
1948	9	11	NA	NA	NA	NA	414.1000061	NA	NA
1948	9	12	NA	NA	NA	NA	403.2000122	NA	NA
1948	9	13	NA	NA	NA	NA	380.3999939	NA	NA
1948	9	14	NA	NA	NA	NA	375.2000122	NA	NA
1948	9	15	NA	NA	NA	NA	365.2000122	NA	NA
1948	9	16	NA	NA	NA	NA	357	NA	NA
1948	9	17	NA	NA	NA	NA	361.2000122	NA	NA
1948	9	18	NA	NA	NA	NA	364.1000061	NA	NA
1948	9	19	NA	NA	NA	NA	375.6000061	NA	NA
1948	9	20	NA	NA	NA	NA	374.2999878	NA	NA
1948	9	21	NA	NA	NA	NA	375.1000061	NA	NA
1948	9	22	NA	NA	NA	NA	382.7000122	NA	NA
1948	9	23	NA	NA	NA	NA	391.2999878	NA	NA
1948	9	24	NA	NA	NA	NA	440.2999878	NA	NA
1948	9	25	NA	NA	NA	NA	487.7999878	NA	NA
1948	9	26	NA	NA	NA	NA	547.7000122	NA	NA
1948	9	27	NA	NA	NA	NA	561.2000122	NA	NA
1948	9	28	NA	NA	NA	NA	570.2000122	NA	NA
1948	9	29	NA	NA	NA	NA	605.9000244	NA	NA
1948	9	30	NA	NA	NA	NA	621	NA	NA
1948	10	1	NA	NA	NA	NA	618.7000122	NA	NA
1948	10	2	NA	NA	NA	NA	623.2999878	NA	NA
1948	10	3	NA	NA	NA	NA	653.2000122	NA	NA
1948	10	4	NA	NA	NA	NA	681.7999878	NA	NA
1948	10	5	NA	NA	NA	NA	701.4000244	NA	NA
1948	10	6	NA	NA	NA	NA	727.2000122	NA	NA
1948	10	7	NA	NA	NA	NA	748.4000244	NA	NA
1948	10	8	NA	NA	NA	NA	755	NA	NA
1948	10	9	NA	NA	NA	NA	758.9000244	NA	NA
1948	10	10	NA	NA	NA	NA	757.9000244	NA	NA
1948	10	11	NA	NA	NA	NA	754.7999878	NA	NA
1948	10	12	NA	NA	NA	NA	752.5999756	NA	NA
1948	10	13	NA	NA	NA	NA	700	NA	NA
1948	10	14	NA	NA	NA	NA	666.2999878	NA	NA
1948	10	15	NA	NA	NA	NA	669.7999878	NA	NA
1948	10	16	NA	NA	NA	NA	659.2999878	NA	NA
1948	10	17	NA	NA	NA	NA	648.0999756	NA	NA
1948	10	18	NA	NA	NA	NA	631.4000244	NA	NA
1948	10	19	NA	NA	NA	NA	605	NA	NA
1948	10	20	NA	NA	NA	NA	590.9000244	NA	NA
1948	10	21	NA	NA	NA	NA	586.5999756	NA	NA
1948	10	22	NA	NA	NA	NA	587.7000122	NA	NA
1948	10	23	NA	NA	NA	NA	608	NA	NA
1948	10	24	NA	NA	NA	NA	614.2000122	NA	NA
1948	10	25	NA	NA	NA	NA	624	NA	NA
1948	10	26	NA	NA	NA	NA	651.7999878	NA	NA
1948	10	27	NA	NA	NA	NA	653.7000122	NA	NA
1948	10	28	NA	NA	NA	NA	658.5999756	NA	NA
1948	10	29	NA	NA	NA	NA	678	NA	NA
1948	10	30	NA	NA	NA	NA	688.0999756	NA	NA
1948	10	31	NA	NA	NA	NA	701.2000122	NA	NA
1948	11	1	NA	NA	NA	NA	708.2000122	NA	NA
1948	11	2	NA	NA	NA	NA	720.2999878	NA	NA
1948	11	3	NA	NA	NA	NA	727.5999756	NA	NA
1948	11	4	NA	NA	NA	NA	750.4000244	NA	NA
1948	11	5	NA	NA	NA	NA	755.9000244	NA	NA
1948	11	6	NA	NA	NA	NA	759.0999756	NA	NA
1948	11	7	NA	NA	NA	NA	758.9000244	NA	NA
1948	11	8	NA	NA	NA	NA	748.2000122	NA	NA
1948	11	9	NA	NA	NA	NA	740.5999756	NA	NA
1948	11	10	NA	NA	NA	NA	725.7999878	NA	NA
1948	11	11	NA	NA	NA	NA	688.5999756	NA	NA
1948	11	12	NA	NA	NA	NA	666.9000244	NA	NA
1948	11	13	NA	NA	NA	NA	624.0999756	NA	NA
1948	11	14	NA	NA	NA	NA	604.5999756	NA	NA
1948	11	15	NA	NA	NA	NA	561.7999878	NA	NA
1948	11	16	NA	NA	NA	NA	532.7000122	NA	NA
1948	11	17	NA	NA	NA	NA	415.6000061	NA	NA
1948	11	18	NA	NA	NA	NA	390.5	NA	NA
1948	11	19	NA	NA	NA	NA	372.2999878	NA	NA
1948	11	20	NA	NA	NA	NA	352.1000061	NA	NA
1948	11	21	NA	NA	NA	NA	326.6000061	NA	NA
1948	11	22	NA	NA	NA	NA	291.5	NA	NA
1948	11	23	NA	NA	NA	NA	270.8999939	NA	NA
1948	11	24	NA	NA	NA	NA	268.6000061	NA	NA
1948	11	25	NA	NA	NA	NA	262.8999939	NA	NA
1948	11	26	NA	NA	NA	NA	262.3999939	NA	NA
1948	11	27	NA	NA	NA	NA	240.1000061	NA	NA
1948	11	28	NA	NA	NA	NA	211.6000061	NA	NA
1948	11	29	NA	NA	NA	NA	190.3000031	NA	NA
1948	11	30	NA	NA	NA	NA	182.6000061	NA	NA
1948	12	1	NA	NA	NA	NA	174.6000061	NA	NA
1948	12	2	NA	NA	NA	NA	164.1000061	NA	NA
1948	12	3	NA	NA	NA	NA	140.3999939	NA	NA
1948	12	4	NA	NA	NA	NA	127.5999985	NA	NA
1948	12	5	NA	NA	NA	NA	119.1999969	NA	NA
1948	12	6	NA	NA	NA	NA	109	NA	NA
1948	12	7	NA	NA	NA	NA	100.6999969	NA	NA
1948	12	8	NA	NA	NA	NA	89.88999939	NA	NA
1948	12	9	NA	NA	NA	NA	88.51000214	NA	NA
1948	12	10	NA	NA	NA	NA	85.88999939	NA	NA
1948	12	11	NA	NA	NA	NA	80.30000305	NA	NA
1948	12	12	NA	NA	NA	NA	71.26000214	NA	NA
1948	12	13	NA	NA	NA	NA	62.29000092	NA	NA
1948	12	14	NA	NA	NA	NA	59.04000092	NA	NA
1948	12	15	NA	NA	NA	NA	56.45000076	NA	NA
1948	12	16	NA	NA	NA	NA	52.47000122	NA	NA
1948	12	17	NA	NA	NA	NA	49.75	NA	NA
1948	12	18	NA	NA	NA	NA	45.83000183	NA	NA
1948	12	19	NA	NA	NA	NA	44.29999924	NA	NA
1948	12	20	NA	NA	NA	NA	41.83000183	NA	NA
1948	12	21	NA	NA	NA	NA	37.27000046	NA	NA
1948	12	22	NA	NA	NA	NA	34.27000046	NA	NA
1948	12	23	NA	NA	NA	NA	32.20999908	NA	NA
1948	12	24	NA	NA	NA	NA	30.35000038	NA	NA
1948	12	25	NA	NA	NA	NA	30.35000038	NA	NA
1948	12	26	NA	NA	NA	NA	30.35000038	NA	NA
1948	12	27	NA	NA	NA	NA	29.79999924	NA	NA
1948	12	28	NA	NA	NA	NA	28.03000069	NA	NA
1948	12	29	NA	NA	NA	NA	26.45999908	NA	NA
1948	12	30	NA	NA	NA	NA	25.57999992	NA	NA
1948	12	31	NA	NA	NA	NA	23.45000076	NA	NA
1949	1	1	NA	NA	NA	NA	23.29999924	NA	NA
1949	1	2	NA	NA	NA	NA	23.10000038	NA	NA
1949	1	3	NA	NA	NA	NA	21.64999962	NA	NA
1949	1	4	NA	NA	NA	NA	19.95000076	NA	NA
1949	1	5	NA	NA	NA	NA	19.70000076	NA	NA
1949	1	6	NA	NA	NA	NA	19.70000076	NA	NA
1949	1	7	NA	NA	NA	NA	19.45000076	NA	NA
1949	1	8	NA	NA	NA	NA	17.95000076	NA	NA
1949	1	9	NA	NA	NA	NA	17.70000076	NA	NA
1949	1	10	NA	NA	NA	NA	17.65999985	NA	NA
1949	1	11	NA	NA	NA	NA	17.21999931	NA	NA
1949	1	12	NA	NA	NA	NA	16.12000084	NA	NA
1949	1	13	NA	NA	NA	NA	15.85999966	NA	NA
1949	1	14	NA	NA	NA	NA	15.21000004	NA	NA
1949	1	15	NA	NA	NA	NA	14.32999992	NA	NA
1949	1	16	NA	NA	NA	NA	14.19999981	NA	NA
1949	1	17	NA	NA	NA	NA	14.19999981	NA	NA
1949	1	18	NA	NA	NA	NA	14.19999981	NA	NA
1949	1	19	NA	NA	NA	NA	14.10999966	NA	NA
1949	1	20	NA	NA	NA	NA	13.59000015	NA	NA
1949	1	21	NA	NA	NA	NA	13.36999989	NA	NA
1949	1	22	NA	NA	NA	NA	12.57999992	NA	NA
1949	1	23	NA	NA	NA	NA	12.40999985	NA	NA
1949	1	24	NA	NA	NA	NA	12.14000034	NA	NA
1949	1	25	NA	NA	NA	NA	11.93000031	NA	NA
1949	1	26	NA	NA	NA	NA	10.86999989	NA	NA
1949	1	27	NA	NA	NA	NA	10.65999985	NA	NA
1949	1	28	NA	NA	NA	NA	10.39999962	NA	NA
1949	1	29	NA	NA	NA	NA	10.31999969	NA	NA
1949	1	30	NA	NA	NA	NA	10.06999969	NA	NA
1949	1	31	NA	NA	NA	NA	9.987000465	NA	NA
1949	2	1	NA	NA	NA	NA	9.532999992	NA	NA
1949	2	2	NA	NA	NA	NA	8.255999565	NA	NA
1949	2	3	NA	NA	NA	NA	7.800000191	NA	NA
1949	2	4	NA	NA	NA	NA	7.544000149	NA	NA
1949	2	5	NA	NA	NA	NA	7.506999969	NA	NA
1949	2	6	NA	NA	NA	NA	7.506999969	NA	NA
1949	2	7	NA	NA	NA	NA	7.46999979	NA	NA
1949	2	8	NA	NA	NA	NA	7.25	NA	NA
1949	2	9	NA	NA	NA	NA	7.212999821	NA	NA
1949	2	10	NA	NA	NA	NA	7.212999821	NA	NA
1949	2	11	NA	NA	NA	NA	7.212999821	NA	NA
1949	2	12	NA	NA	NA	NA	7.176000118	NA	NA
1949	2	13	NA	NA	NA	NA	6.920000076	NA	NA
1949	2	14	NA	NA	NA	NA	6.590000153	NA	NA
1949	2	15	NA	NA	NA	NA	6.112999916	NA	NA
1949	2	16	NA	NA	NA	NA	6.039999962	NA	NA
1949	2	17	NA	NA	NA	NA	5.979000092	NA	NA
1949	2	18	NA	NA	NA	NA	5.583000183	NA	NA
1949	2	19	NA	NA	NA	NA	5.277999878	NA	NA
1949	2	20	NA	NA	NA	NA	4.881999969	NA	NA
1949	2	21	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	22	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	23	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	24	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	25	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	26	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	27	NA	NA	NA	NA	4.821000099	NA	NA
1949	2	28	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	1	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	2	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	3	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	4	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	5	NA	NA	NA	NA	4.790999889	NA	NA
1949	3	6	NA	NA	NA	NA	4.578000069	NA	NA
1949	3	7	NA	NA	NA	NA	4.425000191	NA	NA
1949	3	8	NA	NA	NA	NA	4.730000019	NA	NA
1949	3	9	NA	NA	NA	NA	4.607999802	NA	NA
1949	3	10	NA	NA	NA	NA	4.607999802	NA	NA
1949	3	11	NA	NA	NA	NA	4.790999889	NA	NA
1949	3	12	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	13	NA	NA	NA	NA	4.821000099	NA	NA
1949	3	14	NA	NA	NA	NA	4.912000179	NA	NA
1949	3	15	NA	NA	NA	NA	5.521999836	NA	NA
1949	3	16	NA	NA	NA	NA	6.077000141	NA	NA
1949	3	17	NA	NA	NA	NA	6.849999905	NA	NA
1949	3	18	NA	NA	NA	NA	7.650000095	NA	NA
1949	3	19	NA	NA	NA	NA	8.394000053	NA	NA
1949	3	20	NA	NA	NA	NA	9.201000214	NA	NA
1949	3	21	NA	NA	NA	NA	10.17000008	NA	NA
1949	3	22	NA	NA	NA	NA	11.05000019	NA	NA
1949	3	23	NA	NA	NA	NA	11.94999981	NA	NA
1949	3	24	NA	NA	NA	NA	12.94999981	NA	NA
1949	3	25	NA	NA	NA	NA	13.92000008	NA	NA
1949	3	26	NA	NA	NA	NA	16.51000023	NA	NA
1949	3	27	NA	NA	NA	NA	20.29999924	NA	NA
1949	3	28	NA	NA	NA	NA	24	NA	NA
1949	3	29	NA	NA	NA	NA	26.22999954	NA	NA
1949	3	30	NA	NA	NA	NA	28.89999962	NA	NA
1949	3	31	NA	NA	NA	NA	29.69000053	NA	NA
1949	4	1	NA	NA	NA	NA	30.43000031	NA	NA
1949	4	2	NA	NA	NA	NA	31.86000061	NA	NA
1949	4	3	NA	NA	NA	NA	31.39999962	NA	NA
1949	4	4	NA	NA	NA	NA	31.45000076	NA	NA
1949	4	5	NA	NA	NA	NA	32.38000107	NA	NA
1949	4	6	NA	NA	NA	NA	31.51000023	NA	NA
1949	4	7	NA	NA	NA	NA	29.36000061	NA	NA
1949	4	8	NA	NA	NA	NA	29.29999924	NA	NA
1949	4	9	NA	NA	NA	NA	29.01000023	NA	NA
1949	4	10	NA	NA	NA	NA	28.84000015	NA	NA
1949	4	11	NA	NA	NA	NA	28.14999962	NA	NA
1949	4	12	NA	NA	NA	NA	28.03000069	NA	NA
